"Merchant ID","Merchant Name",Clicks,Orders,"Approved Orders","Order Effective Rate","Gross Sale Amount","Sale Amount","Approved Sale Amount","Sale Amount Effective Rate","Gross Comm",Comm,"Approved Comm","Comm. Success Rate",EPC,CVR,AOV
bofrostde,"bofrost DE",7,50,0,0.00%,$3040.23,$3040.23,$0.00,0.00%,$223.70,$223.70,$0.00,0.00%,$3195.71,714.29%,$60.80
revisionskincare,"Revision Skincare",1,14,0,0.00%,$3433.00,$3433.00,$0.00,0.00%,$120.01,$120.01,$0.00,0.00%,$12001.00,1400.00%,$245.21
deltachildren,"Delta Children",1,10,0,0.00%,$8092.39,$8092.39,$0.00,0.00%,$116.43,$116.43,$0.00,0.00%,$11643.00,1000.00%,$809.24
ilovedooneyaaa,ILoveDooney,1,18,0,0.00%,$2092.20,$2092.20,$0.00,0.00%,$29.19,$29.19,$0.00,0.00%,$2919.00,1800.00%,$116.23
tyreshopperuk,"Tyre Shopper",0,1,0,0.00%,$627.22,$627.22,$0.00,0.00%,$17.56,$17.56,$0.00,0.00%,$0.00,0.00%,$627.22
scalextricukaaa,"Scalextric UK",1,2,0,0.00%,$413.50,$413.50,$0.00,0.00%,$14.40,$14.40,$0.00,0.00%,$1440.00,200.00%,$206.75
hornbyukaaa,"Hornby UK",0,2,0,0.00%,$386.82,$386.82,$0.00,0.00%,$13.50,$13.50,$0.00,0.00%,$0.00,0.00%,$193.41
zazzleaaaaa,Zazzle,0,2,0,0.00%,$106.06,$106.06,$0.00,0.00%,$11.12,$11.12,$0.00,0.00%,$0.00,0.00%,$53.03
airfixukaaa,"Airfix UK",5,2,0,0.00%,$303.22,$303.22,$0.00,0.00%,$10.32,$10.32,$0.00,0.00%,$206.40,40.00%,$151.61
katthelabel,"Kat the Label Australia",0,1,0,0.00%,$96.32,$96.32,$0.00,0.00%,$6.74,$6.74,$0.00,0.00%,$0.00,0.00%,$96.32
lenoxusaaa,"Lenox US",0,1,0,0.00%,$75.00,$75.00,$0.00,0.00%,$5.25,$5.25,$0.00,0.00%,$0.00,0.00%,$75.00
clarksusa,"Clarks USA",0,1,0,0.00%,$59.99,$59.99,$0.00,0.00%,$4.20,$4.20,$0.00,0.00%,$0.00,0.00%,$59.99
targetdartsuk,"Target Darts",0,1,0,0.00%,$15.97,$15.97,$0.00,0.00%,$0.88,$0.88,$0.00,0.00%,$0.00,0.00%,$15.97
thortfuluk,Thortful_UK,0,4,0,0.00%,$30.97,$30.97,$0.00,0.00%,$0.83,$0.83,$0.00,0.00%,$0.00,0.00%,$7.74
paige,Paige,1,0,0,0.00%,$0.00,$0.00,$0.00,0.00%,$0.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00
merrellaaaaa,"Merrell (US)",0,1,0,0.00%,$0.00,$0.00,$0.00,0.00%,$0.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00
diamondsfactoryukaaa,"Diamonds Factory  ",1,0,0,0.00%,$0.00,$0.00,$0.00,0.00%,$0.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00
amazon_pb,Amazon,16,0,0,0.00%,$0.00,$0.00,$0.00,0.00%,$0.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00
